x,y
2542792.9423147175,1158459.0781486586
2541268.338213616,1158941.193425168
2534289.994652513,1155083.0686199372
2532851.59719592,1157151.2617486992
2542829.4680704344,1155461.6535581322
2529596.265853275,1152958.159340909
2538260.349005308,1151835.9352594337
2544157.4956123163,1159177.340955484
2533212.2396255597,1156144.7673490338
2534250.274799623,1152738.055974226
2532337.638875445,1151363.1657377465
2535569.9278706294,1152438.5109347163
2542263.556482682,1160252.3598130161
2528837.2426121975,1150714.5508811544
2540829.6701876335,1160838.2950290786
2544248.935381239,1157390.575835239
2530101.0513783414,1159830.6475355406
2544697.586405566,1159266.1051631018
2532158.472306546,1160356.525374976
2541234.964267191,1152301.8946386522
2536579.831802262,1150514.2581835988
2534265.2966992366,1154090.2068419484
2529943.2921526465,1150768.3908055138
2539892.822962048,1161283.5932816518
2545125.413712546,1157945.5201544065
2539165.6723101987,1157796.0560658365
2528084.9814656116,1156569.6863515158
2539339.839083343,1151406.127492374
2532745.1266702977,1158666.9588090577
2529436.3773198314,1160968.173297679
2536209.8370974516,1151177.7596884489
2543457.7084900616,1152053.9104216448
2536210.8727458706,1154283.9827005374
2539006.7219477943,1161714.7447506643
2543804.8631580807,1149655.6281470063
2542848.210536484,1161827.2340567103
2542896.4602798587,1154747.7600848582
2530641.6824504673,1158329.1020157738
2530029.4009582778,1151061.283784496
2542815.7191987513,1153807.285242637
2531774.798382972,1160030.3239431612
2545394.4605348553,1153392.8850784628
2535966.6351877255,1153938.652687939
2532234.8072849265,1159102.6424117994
2543109.8666564533,1159036.1558051566
2539912.550669367,1151346.2473760096
2538008.0151823224,1155558.595740064
2539517.298335275,1154808.5308717692
2533813.0365353716,1158976.1940405606
2532224.1857476598,1156931.6095961449
2528530.3762170975,1154835.8699259507
2530962.861843105,1151571.2756611088
2528606.024878422,1151678.7533865487
2539557.764738361,1161525.2659138779
2535963.658278444,1153988.246285909
2537790.490732125,1154279.9529456375
2535399.247982404,1159732.3657446906
2541016.6043799277,1151575.6668622731
2536695.746520451,1154118.688869221
2532178.32582596,1154032.8613536216
2543774.951403685,1154516.7586275532
2541552.9721189183,1150015.9842604853
2545421.2406983445,1157195.130986795
2531788.229257892,1154889.2791590164
2538077.3440833646,1159698.7420132933
2543972.3618616285,1158750.4950037336
2529690.9527146122,1156515.9171040948
2534719.9601053554,1161560.9380806698
2540079.3230793686,1149366.1278643082
2544981.354917827,1150664.7444040237
2534495.102407982,1159410.4125005591
2545027.300437014,1152203.898170337
2533809.9817455863,1161736.7305454942
2532593.4312248575,1158999.6999469781
2533502.9892216963,1152827.0200804453
2530097.7701683706,1156447.0950056592
2528143.2502498506,1155263.4166755104
2532500.281392989,1150362.1763870795
2545323.035231256,1161739.3693833407
2544977.7088991515,1151093.699960004
2544088.5820055394,1150885.206371399
2544019.169361698,1151881.4917433918
2540788.1145269535,1152207.6623849366
2533524.195658905,1154832.834636696
2531297.6246224665,1158916.9042191189
2537084.322869075,1160431.5020975997
2534562.1653256295,1161010.3792425594
2539386.7232694235,1155219.29732786
2545862.98623636,1157149.046194887
2538535.1953041344,1161400.1830550826
2544410.03406834,1157992.7992929704
2535421.0647366834,1151663.3852450326
2533977.4896235988,1153185.848374386
2529357.4234766974,1157235.8823459998
